frame,time,id,class,center_x,center_y,speed_kmh,center_y_inverted,delta_x,delta_y,theta,delta_theta,cum_delta_theta,windowed_delta_theta,turn_label,distance_moved,distance_moved_meters,overall_turn_label
1,0.0344827586206896,1,car,385,281,,-281,,,,0.0,,0.0,straight,,,right_turn
31,1.0689655172413792,1,car,385,282,0.0553636363636363,-282,0.0,-1.0,-1.5707963267948966,0.0,0.0,0.0,straight,1.0,0.18421052631578946,right_turn
61,2.103448275862069,1,car,385,281,0.1107272727272727,-281,0.0,1.0,1.5707963267948966,-3.141592653589793,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,right_turn
91,3.1379310344827585,1,car,385,281,0.0,-281,0.0,0.0,0.0,-1.5707963267948966,-4.71238898038469,-4.71238898038469,straight,0.0,0.0,right_turn
121,4.172413793103448,1,car,385,281,0.0,-281,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,right_turn
151,5.206896551724138,1,car,385,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
181,6.241379310344827,1,car,385,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
211,7.275862068965517,1,car,385,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
241,8.310344827586206,1,car,385,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
271,9.344827586206897,1,car,385,280,0.5536363636363636,-280,0.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,straight,1.0,0.18421052631578946,right_turn
301,10.379310344827584,1,car,385,281,0.5536363636363636,-281,0.0,-1.0,-1.5707963267948966,-3.141592653589793,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,right_turn
331,11.413793103448276,1,car,385,281,0.0,-281,0.0,0.0,0.0,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,right_turn
361,12.448275862068966,1,car,385,280,0.5536363636363636,-280,0.0,1.0,1.5707963267948966,1.5707963267948966,3.141592653589793,3.141592653589793,straight,1.0,0.18421052631578946,right_turn
391,13.482758620689657,1,car,385,280,0.0,-280,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,right_turn
421,14.517241379310343,1,car,385,280,0.0,-280,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,right_turn
451,15.551724137931034,1,car,384,280,0.5536363636363636,-280,-1.0,0.0,3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,right_turn
481,16.586206896551722,1,car,384,281,0.1107272727272727,-281,0.0,-1.0,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,right_turn
511,17.620689655172413,1,car,384,281,0.166090909090909,-281,0.0,0.0,0.0,1.5707963267948966,3.141592653589793,3.141592653589793,straight,0.0,0.0,right_turn
541,18.655172413793103,1,car,384,280,0.2768181818181818,-280,0.0,1.0,1.5707963267948966,1.5707963267948966,3.141592653589793,3.141592653589793,straight,1.0,0.18421052631578946,right_turn
571,19.689655172413797,1,car,384,280,0.1107272727272727,-280,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,right_turn
601,20.724137931034484,1,car,384,280,0.0,-280,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,right_turn
631,21.75862068965517,1,car,384,281,0.0553636363636363,-281,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,right_turn
661,22.79310344827586,1,car,383,281,0.7370953159892472,-281,-1.0,0.0,3.141592653589793,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,right_turn
691,23.82758620689655,1,car,383,281,0.0,-281,0.0,0.0,0.0,-3.141592653589793,-4.71238898038469,-4.71238898038469,straight,0.0,0.0,right_turn
721,24.86206896551724,1,car,383,282,0.0553636363636363,-282,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-4.71238898038469,-4.71238898038469,straight,1.0,0.18421052631578946,right_turn
751,25.89655172413793,1,car,383,281,0.166090909090909,-281,0.0,1.0,1.5707963267948966,-3.141592653589793,-4.71238898038469,-4.71238898038469,straight,1.0,0.18421052631578946,right_turn
781,26.93103448275862,1,car,383,281,0.0,-281,0.0,0.0,0.0,-1.5707963267948966,-4.71238898038469,-4.71238898038469,straight,0.0,0.0,right_turn
811,27.96551724137931,1,car,383,280,0.5536363636363636,-280,0.0,1.0,1.5707963267948966,1.5707963267948966,0.0,0.0,straight,1.0,0.18421052631578946,right_turn
841,29.0,1,car,383,280,0.0553636363636363,-280,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,right_turn
871,30.03448275862069,1,car,383,281,0.4429090909090908,-281,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,right_turn
901,31.06896551724138,1,car,383,281,0.0,-281,0.0,0.0,0.0,1.5707963267948966,0.0,0.0,straight,0.0,0.0,right_turn
931,32.10344827586207,1,car,383,281,0.0,-281,0.0,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,straight,0.0,0.0,right_turn
961,33.13793103448276,1,car,382,281,0.0782960054077468,-281,-1.0,0.0,3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,right_turn
991,34.172413793103445,1,car,382,281,0.4429090909090908,-281,0.0,0.0,0.0,-3.141592653589793,-6.283185307179586,-6.283185307179586,straight,0.0,0.0,right_turn
1021,35.206896551724135,1,car,382,281,0.0,-281,0.0,0.0,0.0,0.0,-3.141592653589793,-3.141592653589793,straight,0.0,0.0,right_turn
1051,36.241379310344826,1,car,382,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
1081,37.27586206896552,1,car,382,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
1111,38.310344827586206,1,car,382,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
1141,39.3448275862069,1,car,382,281,0.0,-281,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
1171,40.37931034482759,1,car,381,280,0.1890232781350195,-280,-1.0,1.0,2.356194490192345,2.356194490192345,2.356194490192345,2.356194490192345,straight,1.4142135623730951,0.2605130246476754,right_turn
1201,41.41379310344828,1,car,381,280,0.6129345724932794,-280,0.0,0.0,0.0,-2.356194490192345,0.0,0.0,straight,0.0,0.0,right_turn
1231,42.44827586206897,1,car,381,280,0.5212050963168378,-280,0.0,0.0,0.0,0.0,-2.356194490192345,-2.356194490192345,straight,0.0,0.0,right_turn
1261,43.48275862068966,1,car,381,280,0.4429090909090908,-280,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,right_turn
1291,44.51724137931034,1,car,381,276,1.660909090909091,-276,0.0,4.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,left_turn,4.0,0.7368421052631579,right_turn
1321,45.55172413793103,1,car,381,260,7.476393736225864,-260,0.0,16.0,1.5707963267948966,0.0,1.5707963267948966,1.5707963267948966,left_turn,16.0,2.9473684210526314,right_turn
1351,46.58620689655172,1,car,387,239,11.52097085636177,-239,6.0,21.0,1.2924966677897853,-0.27829965900511144,-0.27829965900511144,-0.27829965900511144,right_turn,21.840329667841555,4.023218623023444,right_turn
1381,47.62068965517241,1,car,405,222,13.161826458443432,-222,18.0,17.0,0.7568345055586884,-0.5356621622310969,-0.8139618212362083,-0.8139618212362083,right_turn,24.758836806279895,4.5608383590515595,right_turn
1411,48.6551724137931,1,car,432,216,14.460491965701792,-216,27.0,6.0,0.21866894587394195,-0.5381655596847463,-1.0738277219158432,-1.0738277219158432,right_turn,27.65863337187866,5.095011410609227,right_turn
1441,49.689655172413794,1,car,464,217,17.005652884824137,-217,32.0,-1.0,-0.031239833430268277,-0.24990877930421007,-0.7880743389889564,-0.7880743389889564,right_turn,32.01562118716424,5.897614429214466,right_turn
1471,50.72413793103448,1,car,500,219,19.125348698723183,-219,36.0,-2.0,-0.05549850524571683,-0.024258671815448718,-0.2741674511196588,-0.2741674511196588,right_turn,36.05551275463989,6.6418049811178745,right_turn
1501,51.75862068965517,1,car,541,219,21.260384384309624,-219,41.0,0.0,0.0,0.05549850524571687,0.03123983343026815,0.03123983343026815,straight,41.0,7.552631578947368,right_turn
1531,52.793103448275865,1,car,587,220,24.36629180963528,-220,46.0,-1.0,-0.021735706841792667,-0.021735706841792712,0.033762798403924155,0.033762798403924155,straight,46.010868281309364,8.47568626234646,right_turn
1561,53.82758620689656,1,car,630,220,24.63681818181818,-220,43.0,0.0,0.0,0.021735706841792712,0.0,0.0,straight,43.0,7.921052631578947,right_turn
1,0.0344827586206896,2,car,358,124,,-124,,,,0.0,,0.0,straight,,,straight
31,1.0689655172413792,2,car,353,110,7.693586756734964,-110,-5.0,14.0,1.9138202672156,0.0,0.0,0.0,straight,14.866068747318506,2.738486348190251,straight
61,2.103448275862069,2,car,350,95,7.994671157097858,-95,-3.0,15.0,1.7681918866447774,-0.14562838057082228,-0.14562838057082228,-0.14562838057082228,straight,15.297058540778355,2.817879204880223,straight
91,3.1379310344827585,2,car,346,76,10.25224072593658,-76,-4.0,19.0,1.7782925532300993,0.010100666585321605,-0.13552771398550068,-0.13552771398550068,straight,19.4164878389476,3.576721444016663,straight
121,4.172413793103448,2,car,341,53,12.25222071555971,-53,-5.0,23.0,1.784857010358718,0.006564457128618528,0.016665123713940133,0.016665123713940133,straight,23.53720459187964,4.335800845872565,straight
151,5.206896551724138,2,car,335,27,14.180172811362803,-27,-6.0,26.0,1.7975951748487824,0.012738164490064374,0.019302621618682902,0.019302621618682902,straight,26.68332812825267,4.915349918362334,straight
