model,horizon_s,ADE,FDE,maneuver
CV,1.0,0.25,0.45,straight
CV,1.0,0.40,0.90,left_turn
CV,1.0,0.55,1.30,right_turn
CV,2.0,0.70,1.40,straight
CV,2.0,1.20,2.80,left_turn
CV,2.0,1.80,4.20,right_turn
CV,3.0,1.10,2.20,straight
CV,3.0,2.00,4.80,left_turn
CV,3.0,3.20,7.20,right_turn
VanillaLSTM,1.0,0.30,0.50,straight
VanillaLSTM,1.0,0.35,0.70,left_turn
VanillaLSTM,1.0,0.45,0.95,right_turn
VanillaLSTM,2.0,0.60,1.20,straight
VanillaLSTM,2.0,0.90,2.00,left_turn
VanillaLSTM,2.0,1.30,3.00,right_turn
VanillaLSTM,3.0,0.95,1.90,straight
VanillaLSTM,3.0,1.60,3.40,left_turn
VanillaLSTM,3.0,2.30,5.20,right_turn
TurnAwareLSTM,1.0,0.32,0.55,straight
TurnAwareLSTM,1.0,0.28,0.60,left_turn
TurnAwareLSTM,1.0,0.38,0.85,right_turn
TurnAwareLSTM,2.0,0.62,1.25,straight
TurnAwareLSTM,2.0,0.75,1.80,left_turn
TurnAwareLSTM,2.0,1.05,2.60,right_turn
TurnAwareLSTM,3.0,0.98,1.95,straight
TurnAwareLSTM,3.0,1.30,2.80,left_turn
TurnAwareLSTM,3.0,1.90,4.40,right_turn
TinyTransformer,1.0,0.22,0.40,straight
TinyTransformer,1.0,0.26,0.55,left_turn
TinyTransformer,1.0,0.35,0.80,right_turn
TinyTransformer,2.0,0.55,1.10,straight
TinyTransformer,2.0,0.70,1.60,left_turn
TinyTransformer,2.0,0.95,2.20,right_turn
TinyTransformer,3.0,0.85,1.70,straight
TinyTransformer,3.0,1.10,2.40,left_turn
TinyTransformer,3.0,1.60,3.80,right_turn
