model,horizon_s,ADE,FDE
CV,1.0,0.04,0.47833333333333333
CV,2.0,0.12333333333333334,0.28
CV,3.0,0.21,0.47333333333333333
TinyTransformer,1.0,0.02766666666666667,0.05833333333333333
TinyTransformer,2.0,0.07333333333333333,0.16333333333333333
TinyTransformer,3.0,0.11833333333333333,0.26333333333333336
TurnAwareLSTM,1.0,0.03266666666666667,0.06666666666666667
TurnAwareLSTM,2.0,0.08066666666666666,0.18833333333333332
TurnAwareLSTM,3.0,0.13933333333333334,0.305
VanillaLSTM,1.0,0.03666666666666667,0.07166666666666667
VanillaLSTM,2.0,0.09333333333333334,0.20666666666666667
VanillaLSTM,3.0,0.16166666666666665,0.35000000000000003
